            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2461132.582318345, A.D. 2026-Apr-02 01:58:32.3050, -2.444252045558597E+04, -1.432289635529278E+04, -1.284178287937772E+03, -1.844086721526654E+00, -3.873750473840291E+00, -3.363918800418908E-01,
2461132.589262790, A.D. 2026-Apr-02 02:08:32.3050, -2.547685762332653E+04, -1.660305080114941E+04, -1.482140574064336E+03, -1.609961581453337E+00, -3.728366167348239E+00, -3.235543643559247E-01,
2461132.596207234, A.D. 2026-Apr-02 02:18:32.3050, -2.638130886323238E+04, -1.879875126438754E+04, -1.672579047484414E+03, -1.410129723715534E+00, -3.592162940935829E+00, -3.113960141021259E-01,
2461132.603151678, A.D. 2026-Apr-02 02:28:32.3050, -2.717450773970260E+04, -2.091536919122585E+04, -1.855976405404108E+03, -1.237928709827316E+00, -3.464601479129135E+00, -3.000555529917082E-01,
2461132.610096123, A.D. 2026-Apr-02 02:38:32.3050, -2.787118555176405E+04, -2.295783956362930E+04, -2.032790191487927E+03, -1.087587513569500E+00, -3.344873044517298E+00, -2.894376409664101E-01,
2461132.617040567, A.D. 2026-Apr-02 02:48:32.3050, -2.848313976203501E+04, -2.493062858366933E+04, -2.203430843766862E+03, -9.549150192953502E-01, -3.232205231525952E+00, -2.794663180402985E-01,
2461132.623985012, A.D. 2026-Apr-02 02:58:32.3050, -2.901997959017845E+04, -2.683775400636146E+04, -2.368265355995261E+03, -8.367459077229218E-01, -3.125880889990106E+00, -2.700733170223821E-01,
2461132.630929456, A.D. 2026-Apr-02 03:08:32.3050, -2.948964433615867E+04, -2.868282547634599E+04, -2.527622978456029E+03, -7.312461374019300E-01, -3.024924461817591E+00, -2.609839742781102E-01,
2461132.637873901, A.D. 2026-Apr-02 03:18:32.3050, -2.989769486701067E+04, -3.046923365686954E+04, -2.681858158226496E+03, -6.327465154316938E-01, -2.929961727965554E+00, -2.528567376788837E-01,
2461132.644818345, A.D. 2026-Apr-02 03:28:32.3050, -3.024935001409631E+04, -3.220030822293660E+04, -2.832787887057571E+03, -5.305704739725752E-01, -2.839756935220127E+00, -2.457587685416757E-01,
2461132.651762790, A.D. 2026-Apr-02 03:38:32.3050, -3.054339496492580E+04, -3.387793700449061E+04, -2.977935948393888E+03, -4.507285330412930E-01, -2.752993206935098E+00, -2.381267173095506E-01,
2461132.658707234, A.D. 2026-Apr-02 03:48:32.3050, -3.079151029849285E+04, -3.550464803263962E+04, -3.118606908603355E+03, -3.773225552330038E-01, -2.669970785739498E+00, -2.308296104207719E-01,
2461132.665651678, A.D. 2026-Apr-02 03:58:32.3050, -3.099730509689146E+04, -3.708258186210957E+04, -3.254992259945866E+03, -3.095364274113144E-01, -2.590349241583286E+00, -2.238365199053147E-01,
2461132.672596123, A.D. 2026-Apr-02 04:08:32.3050, -3.116394138042034E+04, -3.861368682290387E+04, -3.387266057969620E+03, -2.466907479008195E-01, -2.513827328982083E+00, -2.171201611724445E-01,
2461132.679540567, A.D. 2026-Apr-02 04:18:32.3050, -3.129420739641834E+04, -4.009974093308369E+04, -3.515586952796550E+03, -1.882149799915470E-01, -2.440137776314251E+00, -2.106563896794030E-01,
2461132.686485012, A.D. 2026-Apr-02 04:28:32.3050, -3.139057628110031E+04, -4.154237089104491E+04, -3.640099940208262E+03, -1.336261942032829E-01, -2.369042755630668E+00, -2.044237690806825E-01,
2461132.693429456, A.D. 2026-Apr-02 04:38:32.3050, -3.145525348942050E+04, -4.294306854130048E+04, -3.760937873102010E+03, -8.251264254779354E-02, -2.300329980170540E+00, -1.984032028886521E-01,
2461132.700373901, A.D. 2026-Apr-02 04:48:32.3050, -3.149021549910689E+04, -4.430320516940107E+04, -3.878222768849953E+03, -3.452092483234041E-02, -2.233809358199310E+00, -1.925776210797564E-01,
2461132.707318345, A.D. 2026-Apr-02 04:58:32.3050, -3.149724166313690E+04, -4.562404393732029E+04, -3.992066943045071E+03,  1.065414128591802E-02, -2.169310127613919E+00, -1.869317134050562E-01,
2461132.714262790, A.D. 2026-Apr-02 05:08:32.3050, -3.147794062926794E+04, -4.690675072856672E+04, -4.102573995605235E+03,  5.327759171759387E-02, -2.106678413361592E+00, -1.814517031522945E-01,
2461132.721207234, A.D. 2026-Apr-02 05:18:32.3050, -3.143377241228480E+04, -4.815240362975794E+04, -4.209839670892201E+03,  9.358080313102918E-02, -2.045775111532048E+00, -1.761251521502141E-01,
2461132.728151678, A.D. 2026-Apr-02 05:28:32.3050, -3.136606695841003E+04, -4.936200124525525E+04, -4.313952610425538E+03,  1.317667493170876E-01, -1.986474104091104E+00, -1.709407966679894E-01,
2461132.735096123, A.D. 2026-Apr-02 05:38:32.3050, -3.127603985703427E+04, -5.053647000834547E+04, -4.414995013558495E+03,  1.680142920960969E-01, -1.928660700754054E+00, -1.658884047723184E-01,
2461132.742040567, A.D. 2026-Apr-02 05:48:32.3050, -3.116480571573385E+04, -5.167667062802782E+04, -4.513043219105824E+03,  2.024817087433895E-01, -1.872230304045594E+00, -1.609586544072806E-01,
2461132.748985012, A.D. 2026-Apr-02 05:58:32.3050, -3.103338960821276E+04, -5.278340378961492E+04, -4.608168218909828E+03,  2.353096107306360E-01, -1.817087253371555E+00, -1.561430280889557E-01,
2461132.755929456, A.D. 2026-Apr-02 06:08:32.3050, -3.088273692292389E+04, -5.385741520902629E+04, -4.700436112591153E+03,  2.666233736046198E-01, -1.763143822424266E+00, -1.514337217667997E-01,
2461132.762873901, A.D. 2026-Apr-02 06:18:32.3050, -3.071372187650053E+04, -5.489940012569516E+04, -4.789908511317743E+03,  2.965351714919174E-01, -1.710319346993161E+00, -1.468235656950401E-01,
2461132.769818345, A.D. 2026-Apr-02 06:28:32.3050, -3.052715490630095E+04, -5.591000730639150E+04, -4.876642897240919E+03,  3.251456897397527E-01, -1.658539463943089E+00, -1.423059555111831E-01,
2461132.776762790, A.D. 2026-Apr-02 06:38:32.3050, -3.032378911704885E+04, -5.688984262167374E+04, -4.960692944258244E+03,  3.525455739178830E-01, -1.607735445199534E+00, -1.378747920168544E-01,
2461132.783707234, A.D. 2026-Apr-02 06:48:32.3050, -3.010432592530688E+04, -5.783947224777750E+04, -5.042108804933832E+03,  3.788166616128179E-01, -1.557843613143588E+00, -1.335244283970918E-01,
2461132.790651678, A.D. 2026-Apr-02 06:58:32.3050, -2.986942002052287E+04, -5.875942553925071E+04, -5.120937367713046E+03,  4.040330342853684E-01, -1.508804825951507E+00, -1.292496238191128E-01,
2461132.797596123, A.D. 2026-Apr-02 07:08:32.3050, -2.961968374126557E+04, -5.965019761131311E+04, -5.197222487982148E+03,  4.282619192628291E-01, -1.460564023112167E+00, -1.250455025084185E-01,
2461132.804540567, A.D. 2026-Apr-02 07:18:32.3050, -2.935569094897798E+04, -6.051225166553684E+04, -5.271005196029288E+03,  4.515644666680228E-01, -1.413069824060999E+00, -1.209075176464376E-01,
2461132.811485012, A.D. 2026-Apr-02 07:28:32.3050, -2.907798046828881E+04, -6.134602108809314E+04, -5.342323884560326E+03,  4.739964193116646E-01, -1.366274167094212E+00, -1.168314189460243E-01,
2461132.818429456, A.D. 2026-Apr-02 07:38:32.3050, -2.878705915203528E+04, -6.215191134538100E+04, -5.411214478024733E+03,  4.956086973507446E-01, -1.320131997981334E+00, -1.128132246851561E-01,
2461132.825373901, A.D. 2026-Apr-02 07:48:32.3050, -2.848340462025249E+04, -6.293030169937194E+04, -5.477710585769135E+03,  5.164479025102640E-01, -1.274600979435934E+00, -1.088491956802130E-01,
2461132.832318345, A.D. 2026-Apr-02 07:58:32.3050, -2.816746771503658E+04, -6.368154676159402E+04, -5.541843640730884E+03,  5.365567615232775E-01, -1.229641239794750E+00, -1.049358127669129E-01,
2461132.839262790, A.D. 2026-Apr-02 08:08:32.3050, -2.783967470697202E+04, -6.440597790225918E+04, -5.603643025165067E+03,  5.559745129170720E-01, -1.185215143188941E+00, -1.010697562411040E-01,
2461132.846207234, A.D. 2026-Apr-02 08:18:32.3050, -2.750042928341955E+04, -6.510390452982370E+04, -5.663136184780866E+03,  5.747372489607160E-01, -1.141287087615515E+00, -9.724788779081911E-02,
2461132.853151678, A.D. 2026-Apr-02 08:28:32.3050, -2.715011434564772E+04, -6.577561525224194E+04, -5.720348732310387E+03,  5.928782115623612E-01, -1.097823311462266E+00, -9.346723324700612E-02,
2461132.860096123, A.D. 2026-Apr-02 08:38:32.3050, -2.678909363667454E+04, -6.642137893297154E+04, -5.775304541677895E+03,  6.104280602914200E-01, -1.054791733020799E+00, -8.972496823165299E-02,
2461132.867040567, A.D. 2026-Apr-02 08:48:32.3050, -2.641771321993766E+04, -6.704144565048718E+04, -5.828025833562984E+03,  6.274151044999952E-01, -1.012161793793781E+00, -8.601840420196477E-02,
